grantee,description,amount,period,initiative,program
Stanford University Board of Trustees of the Leland Stanford Junior College (Stanford University),"This grant supports the development of easy-to-use, stable, and distributable analysis pipelines capable of providing deep insight into chromatin accessibility data sets. (PI: William J Greenleaf, Human Cell Atlas Computational Tools RFA)","$250,000",2018 - 2019,Science,Human Cell Atlas
Stanford University Board of Trustees of the Leland Stanford Junior College (Stanford University),"This grant supports developing novel human cellular models of brain function and maturation to enable mechanistic studies of neurodegeneration. (PI: Sergiu Pasca, Early Career Award)","$2,500,000",2019 - 2024,Science,Neurodegeneration Challenge Network
StarVista,"StarVista delivers high impact services through counseling, skill development, and crisis prevention to children, youth, adults, and families to help all ages and stages through life’s challenges. This grant bolsters their mission to end youth homelessness by providing operational support across the organization.","$500,000",2018 - 2019,Community,Bay Area
Stony Brook Foundation (Stony Brook University),"This grant supports a wide-reaching survey, initiated by the Alda Center and led by ScienceCounts, to assess scientists' desire to engage in a range of science communication activities.","$70,000",2018 - 2019,Science,Movement for Science
StreetCode Academy,"StreetCode Academy equips a generation of under-represented leaders with the skills to hack, hustle, and design the future. This Community Fund grant supports their work across all four communities the Fund operates in.","$75,000",2018,Community,Bay Area
Summit Public Schools,"Summit Public Schools is a leading network of public charter schools that prepares a diverse student population for success in a four-year college and to be thoughtful, contributing members of society. This grant supports Summit to enhance the quality of student-teacher interactions and tailor learning to meet individual student needs through the Summit Learning Program — a personalized approach to teaching and learning shared at more than 300 district-run, public charter, and independent schools nationwide. The grant provides operating support for delivering the Summit Learning Program to schools, including expenses for training, staffing, and curriculum.","$23,802,779",2018 - 2019,Education,K-12 Education
T.L.P. Education,"T.L.P. Education is a new non-profit organization that will lead and operate the Summit Learning Program, which aims to enhance the quality of student-teacher interactions and empower teachers to tailor instruction to meet individual student needs. The Summit Learning Program is a personalized approach to teaching and learning shared and used at more than 300 district-run, public charter, and independent schools nationwide. This grant supports the work of T.L.P. Education in the 2019-2020 school year, providing operating support to deliver the Summit Learning Program to reach schools nationwide, including expenses for training, staffing, and curriculum.","$2,000,000",2018 - 2019,Education,K-12 Education
"Teachers College, Columbia University (The Hechinger Report)","The Hechinger Report — an independent non-profit news organization based at Teachers College, Columbia University — covers inequality and innovation in education with in-depth journalism that uses research, data, and stories from classrooms and campuses to show the public how education can be improved and why it matters. This grant supports Hechinger's in-depth storytelling efforts on how educators and schools are working to meet students' unique needs and support their holistic development.","$520,000",2018 - 2021,Education,Communications
"Teen Success, Inc.","Teen Success, Inc. helps underserved teen mothers and their children become educated, self-sufficient, valued members of society. This Community Fund grant provides general operational support for the organization across the 4 communities where the fund works.","$25,000",2018,Community,Bay Area
Texas Organizing Project Education Fund (TOPEF),"TOPEF is dismantling barriers that have held back communities of color and working families in Texas – activating a base of civically engaged, directly impacted communities (people of color, women and youth) around issues they care about and centering them in our democracy and public institutions.**This donation recognizes TOPEF as a Finalist in the Communities Thrive Challenge, a collaboration with the Rockefeller Foundation to fund, strengthen, and scale community-based approaches to expanding economic opportunity. While CZI disbursed the funds to TOPEF, the donation is joint in spirit.","$10,000",2018 - 2019,Justice & Opportunity,Economic Opportunity
The 74,"The 74 is a non-profit, nonpartisan news site covering education in America, aiming to lead an honest, fact-based conversation about how to provide America's children with the education they deserve. This grant supports The 74 to deepen its storytelling efforts and to produce a newsmakers event with Axios.","$600,000",2019,Education,Communications
"The Aspen Institute (National Commission on Social, Emotional, and Academic Development)","The National Commission on Social, Emotional, and Academic Development aims to strengthen and accelerate efforts to meet students' comprehensive learning and developmental needs. This grant supports a landscape analysis of the social, emotional, and academic field as well as the Commission’s final report — A Nation at Risk to a Nation At Hope — that offers recommendations in research, practice, and policy for closing the gap between what we know about how young people learn and what we do in schools.","$120,000",2018,Education,Student Development
The Board of Regents of the University of Wisconsin System (University of Wisconsin),"This grant supports a CZI Imaging Software Fellow to continue development of ImageJ/FIJI as a high performant, extensible image analysis platform and expand its interactions in a broad imaging tools ecosystem.","$524,871",2018 - 2021,Science,Imaging
The Board of Regents of the University of Wisconsin System (University of Wisconsin),"This grant supports the development of novel computational methods and tools for classifying the cell type of cells using RNA-seq data and for human interaction with such data to discover associations between cell type and gene expression features. (PI: Colin Dewey, Human Cell Atlas Computational Tools RFA)","$175,858",2018 - 2019,Science,Human Cell Atlas
The Board of Regents of the University of Wisconsin System (University of Wisconsin),Tiny Earth is a network of instructors and students focused on crowdsourcing antibiotic discovery from soil. This grant supports instructor training and community engagement to build and support scientific connections and relationships among Wisconsin higher education institutions and communities.,"$70,000",2018 - 2019,Science,Movement for Science
The Board of Trustees of the University of Illinois (University of Illinois),"This grant supports the development of new omics data quantization and lossless compression algorithms and accompanying machine learning methods that are robust to quantization errors.(PI: Olgica Milenkovic, Human Cell Atlas Computational Tools RFA)","$105,000",2018 - 2019,Science,Human Cell Atlas
The Board of Trustees of the University of Illinois (University of Illinois),"This grant supports the development of data compression algorithms for human cell atlas data that support the eventual end-use of the atlas, whether in-place execution of network analysis, machine learning, or for visualization. (PI: Lav Varshney, Human Cell Atlas Computational Tools RFA)","$105,000",2018 - 2019,Science,Human Cell Atlas
The Board of Trustees of the University of Illinois (University of Illinois),"This grant supports the development of new omics data quantization and lossless compression algorithms and accompanying machine learning methods that are robust to quantization errors.  (PI: Idoia Ochoa, Human Cell Atlas Computational Tools RFA)","$105,000",2018 - 2019,Science,Human Cell Atlas
The Board of Trustees of the University of Illinois (University of Illinois),"This grant supports the development of new omics data quantization and lossless compression algorithms and accompanying machine learning methods that are robust to quantization errors. (PI: Mikel Hernaez, Human Cell Atlas Computational Tools RFA)","$105,000",2018 - 2019,Science,Human Cell Atlas
The Braven Accelerator,"Braven's mission is to empower promising, underrepresented young people — first-generation college students, students from low-income backgrounds, and students of color — with the skills, confidence, experiences, and networks necessary to transition from college to strong first jobs, which lead to meaningful careers and lives of impact. This grant provides general operating support for Braven to expand their program and infrastructure to reach more students.","$500,000",2018 - 2019,Education,K-12 Education
The Center for Mind-Body Medicine,"The Center for Mind-Body Medicine aims to make self-awareness, self-care, and group support central to healthcare, the training of health professionals, and education. This grant supports the organization to work with children and adults in Broward County, Florida to navigate trauma and recovery, and to build self-care and emotional learning skills for sustained resilience and wellness.","$1,200,000",2018 - 2019,Education,Student Development
The Education Trust,"The Education Trust is a nonpartisan non-profit organization whose mission is to promote closing opportunity gaps by expanding excellence and equity in education for students of color and those from low-income families from pre-kindergarten through college. Through research and advocacy, the organization engages diverse communities that care about education equity for historically underserved students. This grant supports The Education Trust in amplifying the voices of students of color, low-income students, and their families — in particular their perspectives on social emotional development — to inform policy advocacy at the school, district, and state levels.","$285,000",2018 - 2019,Education,Public Policy
The First 72+ (Rising Foundations),"Rising Foundations ""catches"" high risk and vulnerable people at their most volatile transition point-- the first 72 hours after release from prison. Rising is meeting critical housing/shelter, financial, legal, and basic needs of a population that needs a lot of support and guidance.**This donation recognizes Rising Foundations as a Finalist in the Communities Thrive Challenge, a collaboration with the Rockefeller Foundation to fund, strengthen, and scale community-based approaches to expanding economic opportunity. While CZI disbursed the funds to Rising Foundations, the donation is joint in spirit.","$10,000",2018 - 2019,Justice & Opportunity,Economic Opportunity
The General Hospital Corporation dba Massachusetts General Hospital (Massachusetts General Hospital),"The grant supports generating a rich multi-omic snapshot of the human hematopoietic system, developing computational strategies to detect cellular hierarchies, and recovering complex developmental trajectories for human tissues at single-cell resolution. (PI: Luca Pinello, Human Cell Atlas Computational Tools RFA)","$249,906",2018 - 2019,Science,Human Cell Atlas
The General Hospital Corporation dba Massachusetts General Hospital (Massachusetts General Hospital),"This grant supports the analysis of single-cell expression data of the Human Cell Atlas, by developing an efficient and scalable scRNA-seq Analysis Pipeline powered by Bayesian non-negative matrix factorization (scRNAlyzer). (PI: Gad Getz, Human Cell Atlas Computational Tools RFA)","$250,000",2018 - 2019,Science,Human Cell Atlas
The Jackson Laboratory,"This grant supports the generation of scRNA-seq data under steady-state and immune activation conditions to test the efficacy of iteratively-adjusted surrogate variable analyses for uncovering genes and cell types associated with diverse immune responses.  (PI: Duygu Ucar, Human Cell Atlas Computational Tools RFA)","$250,000",2018 - 2019,Science,Human Cell Atlas
The Learning Agency,"The Learning Agency is a consultancy, service provider, and communications group that helps individuals and organizations in the learning and development space harness the power of learning. This grant supports a convening focused on the development of new tools that take innovative, research-based approaches to helping teachers provide feedback to students in schools, districts, and states.","$50,000",2018 - 2019,Education,Learning Science
The Marshall Project,The Marshall Project is a nonprofit news organization covering the U.S. criminal justice system. This grant supports the Marshall Project's efforts to increase regionally-focused reporting.,"$1,656,000",2018 - 2020,Justice & Opportunity,Criminal Justice Reform
The New Teacher Project,The New Teacher Project's mission is to end the injustice of educational inequality by providing excellent teachers to the students who need them most and by advancing policies and practices that ensure effective teaching in every classroom. This grant supports the organization to identify school-based supports and leadership conditions that lead to the greatest student outcomes within personalized learning environments.,"$665,000",2018 - 2020,Education,K-12 Education
The Primary School,"The Primary School integrates education, health care, and family support services to dramatically improve outcomes for underserved children. This grant supports their ongoing work to enable children to lead lives that are meaningful and healthy - emotionally, mentally, and physically.","$3,200,000",2018 - 2019,Community,Family Giving
The Primary School - East Palo Alto,"The Primary School integrates education, health care, and family support services to dramatically improve outcomes for underserved children. This grant supports their ongoing work to enable children to lead lives that are meaningful and healthy - emotionally, mentally, and physically.","$600,000",2018 - 2019,Community,Family Giving
The Primary School - East Palo Alto,"The Primary School integrates education, health care, and family support services to dramatically improve outcomes for underserved children. This grant supports their ongoing work to enable children to lead lives that are meaningful and healthy - emotionally, mentally, and physically.","$1,800,000",2018 - 2019,Community,Family Giving
The Primary School - East Palo Alto,"The Primary School integrates education, health care, and family support services to dramatically improve outcomes for underserved children. CZI is proud to support their work through a grant that will enable them to design and pilot an expansive vision of mental health supports for young children, building on The Primary School's unique team-based approach to care.","$46,250",2018,Community,Family Giving
The Primary School - East Palo Alto,"The Primary School integrates education, health care, and family support services to dramatically improve outcomes for underserved children. This grant supports their ongoing work to enable children to lead lives that are meaningful and healthy - emotionally, mentally, and physically.","$10,990",2018,Community,Family Giving
The Ravenswood Family Health Center,"The Ravenswood Family Health Center works to improve the health of the community by providing culturally sensitive, integrated primary and preventative health care to all. This Community Fund grant supports their ongoing work across all four communities the Fund operates in.","$100,000",2018 - 2019,Community,Bay Area
The Ravenswood Family Health Center,"The Ravenswood Family Health Center works to improve the health of the community by providing culturally sensitive, integrated primary and preventative health care to all. This capacity building grant supports further leadership development.","$10,000",2018 - 2019,Community,Bay Area
"The Regents of the University, Santa Cruz (University of California, Santa Cruz)",This grant supports UCSC's Human Cell Atlas Data Coordination Platform and enables their ownership of data store and data browser development. (PI: Benedict Paten),"$750,000",2018 - 2019,Science,Human Cell Atlas
"The Regents of the University, Santa Cruz (University of California, Santa Cruz)","This grant supports the development of UCSC Xena to support visualization and exploration of the Human Cell Atlas data. (PI: Jingchun Zhu, Human Cell Atlas Computational Tools RFA)","$200,000",2018 - 2019,Science,Human Cell Atlas
"The Regents of the University, Santa Cruz (University of California, Santa Cruz)","This grant supports the development of a web-based viewer for single cell dimensionality reduction coordinates and expression matrices and integration with the UCSC Xena Browser and the UCSC Genome Browser. (PI: Max Haeussler, Human Cell Atlas Computational Tools RFA)","$200,000",2018 - 2019,Science,Human Cell Atlas
"The Regents of the University, Santa Cruz (University of California, Santa Cruz)","This grant supports the development of standards for describing cell trajectories found in single cell RNA-Seq datasets, methods to align trajectories, and tools to search known and novel cell differentiation transitions. (PI: Josh Stuart, Human Cell Atlas Computational Tools RFA)","$250,000",2018 - 2019,Science,Human Cell Atlas
"The Regents of University of California, Davis campus (University of California, Davis)","This grant supports development of statistical models for identifying the subset of cell types and genes that are affected by perturbations in case-control single cell experiments, and to generate a benchmark dataset for validating such models. (PI: Gerald Quon, Human Cell Atlas Computational Tools RFA)","$99,084",2018 - 2019,Science,Human Cell Atlas
The Research Foundation for SUNY,"This grant supports the creation and evaluation of efficient tools for quantifying gene and transcript group expression from single cell RNA-seq data, as well as a realistic data simulation tool to aid in assessment. (PI: Robert Patro, Human Cell Atlas Computational Tools RFA)","$132,703",2018 - 2019,Science,Human Cell Atlas
The Salk Institute For Biological Studies,"This grant supports the investigation of how astrocytes regulate neuronal synapse formation and function from development to aging, how dysfunctional astrocytes contribute to neurodegenerative disease, and how astrocytes may be used to stimulate synaptic repair in disease. (PI: Nicola Allen, Early Career Award)","$2,500,000",2018 - 2023,Science,Neurodegeneration Challenge Network
"The Salvation Army, a California Corporation","The Salvation Army, an international movement, is an evangelical part of the universal Christian Church. This Community Fund grant supports its work in the East Palo Alot and Belle Haven communities.","$50,000",2018,Community,Bay Area
The Trustees of Columbia University in the City of New York (Columbia University),"This grant supports the development of novel statistical methods enabling the fusion of multiple data types collected via different experimental technologies. (PI: Liam Paninski, Human Cell Atlas Computational Tools RFA)","$110,000",2018 - 2020,Science,Human Cell Atlas
The Trustees of Columbia University in the City of New York (Columbia University),"This grant supports the generation of key reference data and a microglia experimental toolkit to identify and target different human microglial subtypes, with plans to make these tools available to the broader research community. (PI: Philip L. De Jager, Collaborative Science Award)","$1,050,000",2018 - 2021,Science,Neurodegeneration Challenge Network
The Trustees of the University of Pennsylvania (University of Pennsylvania),"This grant supports the building and enabling software and datasets for latent-space transformations of HCA data. (PI: Casey Greene, Human Cell Atlas Computational Tools RFA)","$120,491",2018 - 2019,Science,Human Cell Atlas
The Trustees of the University of Pennsylvania (University of Pennsylvania),"This grant supports the combination of crowdsourcing and machine learning to create a new platform for image processing and to develop a new conceptual framework for understanding the notion of cell type and how to manipulate it using sequencing and perturbations.  (PI: Arjun Raj, Human Cell Atlas Computational Tools RFA)","$150,000",2018 - 2019,Science,Human Cell Atlas
The University of Melbourne,"This grant supports the development and implementation of computational methods as part of our existing R package mixOmics to facilitate the exploration and combined analysis of single cell assays generated across multiple studies and multiple technological platforms. (PI: Kim-Anh Lê Cao, Human Cell Atlas Computational Tools RFA)","$105,825",2018 - 2019,Science,Human Cell Atlas
The University of Texas at Austin,"This grant supports the design of frameworks and systems which close the gap between computer vision algorithm and human performance for analyzing live cells observed in videos. (PI: Danna Gurari, Human Cell Atlas Computational Tools RFA)","$245,849",2018 - 2019,Science,Human Cell Atlas
The University of Texas at Austin,"This grant supports leveraging systems immunology tools to profile single T-cells that infiltrate into the brain during neurodegeneration. These experiments will be informative for understanding the role of the immune system in neurodegeneration and for developing immune-based detection and treatment approaches. (PI: Ning Jiang, Early Career Award)","$2,500,000",2018 - 2023,Science,Neurodegeneration Challenge Network
The University of Texas MD Anderson Cancer Center,"This grant supports the development of novel methods and tools for joint identification of cell-types from multimodal single-cell datasets. (PI: Ken Chen, Human Cell Atlas Computational Tools RFA)","$125,111",2018 - 2019,Science,Human Cell Atlas
The Walter and Eliza Hall Institute of Medical Research,"This grant supports the creation of a benchmark data set and analysis platform that allows for an unbiased comparison of single-cell RNA-sequencing analysis methods. (PI:Matthew Ritchie, Human Cell Atlas Computational Tools RFA)","$117,437",2018 - 2019,Science,Human Cell Atlas
The Wildflower Foundation,The Wildflower Foundation is an independent non-profit organization that supports the Wildflower nationwide network of teacher-led and operated Montessori schools. Wildflower combines groundbreaking research with a century of Montessori practice to create nurturing learning environments where children can be truly known and teachers can address the needs of the whole child through Montessori’s personalized learning approach. This grant provides general operating support for the Foundation to build capacity and infrastructure among Wildflower Schools.,"$650,000",2018 - 2019,Education,K-12 Education
Third Sector New England (Prosecutor Impact),"Prosecutor Impact works directly with prosecutors to improve outcomes for people impacted by the criminal justice system through education, training, and improved access to technology. This grant supports Prosecutor Impact's program to train new prosecutors on interventions which help to address the underlying factors causing crime, and promote safe and stable communities.","$750,000",2018 - 2019,Justice & Opportunity,Criminal Justice Reform
Thomas B. Fordham Institute,"Thomas B. Fordham Institute promotes educational excellence for every child in America through quality research, analysis, commentary, and advocacy. This grant supports the Institute in three projects: studying the quality of online supplemental learning resources for high school English Language Arts teachers; bringing learning science into education practices; and exploring the challenges and opportunities of personalized pacing, particularly in high-need elementary schools.","$300,000",2018 - 2019,Education,Public Policy
Tides Advocacy (NPH Action Fund),"The Non-Profit Housing Association of Northern California (NPH) is a member-based organization of over 750 affordable housing developers, advocates, community leaders, and businesses working to secure resources, educate the public, and support affordable homes as the foundation for thriving individuals, families, and communities. This grant supports NPH's work to grow public support and political will for affordable housing solutions by educating and reaching voters about critical ballot measures and other efforts to improve the region's housing affordability.","$50,000",2018,Justice & Opportunity,Housing
Tides Center (Age of Learning Inc),"The Tides Center accelerates the pace of social change by working with innovative partners to solve society’s toughest problems. CZI is proud to continually support their work for three years, and in particular the Bring Learning Home program that makes ABCmouse educational technology available for free at Bay Area public libraries.","$100,000",2018,Community,Bay Area
Tides Center (Homeless Youth Alliance),"The Tides Center accelerates the pace of social change by working with innovative partners to solve society’s toughest problems. This capacity building grant supports the Homeless Youth Alliance, a fiscally sponsored project of The Tides Center, in their mission to develop relationships with youth and young adults aged 13-29 who live on the street in the Haight Ashbury neighborhood of San Francisco, meet them where they are at, and help them build healthier lives.","$10,000",2018,Community,Bay Area
Tides Foundation (The Impact Genome Project),"The Impact Genome Project works to move the social sector forward by breaking interventions down to their components, enabling isolation of the pieces that are most effective for producing outcomes. This grant supports the Project to code and classify interventions and outcomes from research and gray literature in three areas of education — Early Childhood, K-12 Student Achievement, and College and Career Readiness — resulting in a free, searchable evidence-base and tools to make use of the data on what works in education.","$1,500,000",2018 - 2019,Education,Learning Science
Tides Foundation (The Justice Collaborative),"The Justice Collaborative is a team of legal experts, researchers, journalists, and media strategists working across a collection of strategically aligned projects that share the common goal of bringing human dignity and restraint to our deeply flawed criminal justice system. TJC’s work empowers, educates, and supports a community of leaders, problem-solvers, and allies, both outside the system advocating for change and inside reform-minded offices determining the fates of individual people thousands of times every day. This grant will provide general support for the Justice Collaborative’s advocacy, policy development, and journalism projects, all of which share a common goal of driving accountability of prosecutors and other system actors in criminal justice.","$500,000",2018 - 2019,Justice & Opportunity,Criminal Justice Reform
Transcend,"Transcend partners with visionary learning communities and school operators to build, codify, and spread innovative evidence-based learning models that prepare children to thrive in and transform the 21st century. This grant provides general operating support for Transcend's programs.","$1,600,000",2018 - 2020,Education,K-12 Education
TransForm,"TransForm promotes walkable communities with excellent transportation choices to connect people of all incomes to opportunity, keep California affordable, and help solve our climate crisis. This grant helps support their work in promoting transit-oriented development without displacement by advocating for investments in affordable homes near transit and leveraging local, regional, and state policy, as well as public land, to promote affordable housing with less driving.","$725,000",2018 - 2021,Justice & Opportunity,Housing
Turn 2 U Inc (The Last Mile),"Founded in 2010, The Last Mile (TLM), is an organization that prepares incarcerated individuals for successful reentry through business and technology training. CZI, along with funding partners at the George Kaiser Family Foundation and Lobeck Taylor Family Foundation, enabled The Last Mile's expansion into its 12th location at Mabel Bassett Correctional Center for women in Oklahoma.","$361,000",2018 - 2020,Justice & Opportunity,Criminal Justice Reform
U.S. Chamber of Commerce Foundation,"The U.S. Chamber of Commerce Foundation is dedicated to strengthening America’s long-term competitiveness. Its Center for Education and Workforce works with business leaders to tackle the most pressing education and workforce issues facing our country and to challenge the status quo through research, programs, and policy. This grant supports the organization’s work to cultivate leaders within the business community focused on creating learning environments tailored to meet the holistic developmental needs of students and the growing demands of the future economy.","$255,000",2018 - 2019,Education,Public Policy
Unamesa Association (Belle Haven Action),"Belle Haven Action, a fiscally sponsored project of Unamesa Association, advocates for the residents of the Belle Haven Neighborhood in the City of Menlo Park. This Community Fund grant supports Belle Haven Action’s ongoing efforts surrounding housing advocacy, leadership and legacy, and the health and safety of schoolchildren in the Belle Haven community.","$75,000",2018,Community,Bay Area
UnboundEd,"UnboundEd aims to empower teachers by providing free, high-quality, standards-aligned PreK-12 curriculum resources for the classroom, as well as professional learning experiences and supports. This grant enables UnboundEd to digitize, modularize, and refine their middle school English Language Arts and Math curricula.","$800,000",2018 - 2019,Education,K-12 Education
United Way Worldwide,"United Way Worldwide (UWW) fights for the health, education, and financial stability of every person in every community. With these funds UWW convened 11 community conversations to help spread the word about the Communities Thrive Challenge, a collaboration with the Rockefeller Foundation to fund, strengthen, and scale community-based approaches to expanding economic opportunity. These conversations also informed the CTC evaluation process.**While CZI disbursed the funds to UWW, the project was joint in spirit and practice.","$147,775",2018,Justice & Opportunity,Economic Opportunity
University College London,"This grant supports the development and support a suite of probabilistic analysis methods for analysis of single-cell and in situ RNA-seq data. (PI: Kenneth Harris, Human Cell Atlas Computational Tools RFA)","$126,097",2018 - 2019,Science,Human Cell Atlas
University of California Berkeley Foundation (Terner Center),"The Terner Center for Housing Innovation at the University of California, Berkeley uses policy research and practice innovations to advance bold strategies to house families in vibrant, sustainable, and affordable homes and communities.","$443,520",2018 - 2020,Justice & Opportunity,Housing
University of California Berkeley Foundation (Urban Displacement Project & Jackelyn Hwang at Stanford University),The Urban Displacement Project (UDP) is a research and action initiative at UC Berkeley. UDP’s mission is to generate community-engaged research that helps move cities towards more equitable and inclusive futures.  This grant supports UDP and Professor Jackelyn Hwang of Stanford University to participate in a research collaboration with the Federal Reserve Bank of San Francisco to study the impact of development on displacement.,"$200,000",2018 - 2020,Justice & Opportunity,Housing
"University of California, San Francisco",This grant supports the development of methods for permanently recording cell state changes in DNA in a compact manner that can be read out in single cell format using droplet-based single cell RNA-seq. (PI: Jonathan Weissman),"$575,000",2018 - 2019,Science,Human Cell Atlas
"University of California, San Francisco","This grant supports the development and incorporation of machine learning algorithms for segmentation of cellular organelles into the soft x-ray tomography pipeline and generate images of segmented cells for the Human Cell Atlas. (PI: Carolyn Larabell, Human Cell Atlas Computational Tools RFA)","$179,317",2018 - 2019,Science,Human Cell Atlas
"University of California, San Francisco","This grant supports the use multiplexed single cell RNA-sequencing to construct a provisional version of the Human Immune Census across three ethnicities and to develop a new suite of computational tools to analyze the resulting data. (PI: Jimmie Ye, Human Cell Atlas Computational Tools RFA)","$250,000",2018 - 2019,Science,Human Cell Atlas
"University of California, San Francisco","This grant supports the building and contribution to a set of tools to address the analysis of single cell RNAseq data using the popular Cytoscape network analysis ecosystem. (PI: John Morris, Human Cell Atlas Computational Tools RFA)","$249,691",2018 - 2019,Science,Human Cell Atlas
"University of California, San Francisco","This grant supports using machine learning and systems pharmacology methods to characterize novel bioactive small molecules able to control cellular processes underlying proteinopathies. (PI: Michael Keiser, Early Career Award)","$2,500,000",2018 - 2023,Science,Neurodegeneration Challenge Network
"University of California, San Francisco","This grant supports leveraging a CRISPR-based functional genomics platform in human iPSC-derived neurons and glia to elucidate cellular mechanisms of neurodegenerative diseases. (PI: Martin Kampmann, Early Career Award)","$2,500,000",2018 - 2023,Science,Neurodegeneration Challenge Network
"University of California, San Francisco","This grant supports bridging the pathophysiological knowledge gap between human genetic risk pathways and neuropathological findings through deep, systematic phenotyping of a set of human fibroblast, induced neuron, and post-mortem tissue resources all derived from the same individual patients. (PI: William Seeley, Collaborative Science Award)","$1,050,000",2018 - 2021,Science,Neurodegeneration Challenge Network
University of Cambridge,"This grant supports providing R / Bioconductor software as a coherent programmatic interface to the HCA and to enable scalable interactive statistical analysis of single-cell data. (PI:John Marioni, Human Cell Atlas Computational Tools RFA)","$45,000",2018 - 2019,Science,Human Cell Atlas
University of Cambridge,"This grants supports the identification of the mechanisms by which metabolic factors contribute to neurodegeneration, and to harness these insights to slow disease progression. (PI: Florian T. Merkle, Early Career Award)","$2,500,000",2018 - 2023,Science,Neurodegeneration Challenge Network
University of Chicago,"This grant supports the generation of an open, reproducible, and extensible benchmark platform for evaluating computational tools for single cell differential expression analysis. (PI: Matthew Stephens, Human Cell Atlas Computational Tools RFA)","$207,328",2018 - 2019,Science,Human Cell Atlas
University of Dundee,"This grant supports the creation of the Human Cell Atlas Image Data Resource (HCA-IDR) and new software analytics capabilities by integrating existing tools into the Human Cell Atlas Data Coordination Platform for image ingestion, storage, and metadata association and by developing the *fish (Star-fish) project for generalized image analysis capabilities. (PI: Jason Swedlow, Human Cell Atlas Computational Tools RFA)","$227,200",2018 - 2019,Science,Human Cell Atlas
University of Eastern Finland,"This grant supports the development of deep neural network (autoencoder) models for single cell data and testing their application to generate a suitable data representation for downstream analysis of cell phenotypes, such as metabolic activity prediction. (PI:Merja Heinäniemi, Human Cell Atlas Computational Tools RFA)","$100,917",2018 - 2019,Science,Human Cell Atlas
University of Edinburgh,"This grant supports the development of software for an atlas framework enabling image integration, annotation and analysis, including tools for the clinical domain expert with sharing of image data and comparative analysis of normal and diseased tissues across species. (PI: Mark Arends, Human Cell Atlas Computational Tools RFA)","$116,534",2018 - 2019,Science,Human Cell Atlas
University of Florida,"This grant supports the study of disrupted transport of proteins and RNA and accelerated repeat expansion to better model neurodegenerative processes. (PI: Eric Wang, Early Career Award)","$2,500,000",2018 - 2023,Science,Neurodegeneration Challenge Network
University of Hawaii Foundation,"The University of Hawaii Foundation works to unite donors' passions with the University of Hawaii's aspirations by raising philanthropic support and managing private investments to benefit UH, the people of Hawaiʻi and our future generations. This grant will support the Wai'ale'ale Project and Early College Program at Kaua'i Community College.","$30,000",2018 - 2019,Community,Bay Area
University of Texas Southwestern Medical Center,"This grant supports development of structural metrics that define neurodegenerative tauopathies with the long term goal of developing a simple diagnostic test that will identify those in an asymptomatic population who are at risk of developing disease. (PI: Marc Diamond, Collaborative Science Award)","$1,050,000",2018 - 2021,Science,Neurodegeneration Challenge Network
University of Utah School of Medicine,"This grant supports the investigation of mechanisms of viral-like intercellular communication in the brain that mediate initial etiology of Alzheimer's Disease. (PI: Jason Shepherd, Early Career Award)","$2,500,000",2018 - 2023,Science,Neurodegeneration Challenge Network
University of Zurich,"This grant supports the development of benchmarks and flexible statistical methods and software tools for discovery in high throughput single cell datasets. (PI: Mark Robinson, Human Cell Atlas Computational Tools RFA)","$225,081",2018 - 2019,Science,Human Cell Atlas
Urban Revival Inc. (City Life/Vida Urbana),"City Life, a 46-year-old affordable housing and tenants rights group in Boston, helps working class residents stave off displacement and stabilize neighborhoods through community organizing, collective case management, legal advocacy and political action. **This donation recognizes City Life as a Finalist in the Communities Thrive Challenge, a collaboration with the Rockefeller Foundation to fund, strengthen, and scale community-based approaches to expanding economic opportunity. While CZI disbursed the funds to City Life, the donation is joint in spirit.","$10,000",2018 - 2019,Justice & Opportunity,Economic Opportunity
"Urban Youth Alliance International, Inc. (BronxConnect)","BronxConnect is a community-based, justice-alternative organization committed to keeping youth out of jail for life. The organization runs anti-gun violence, re-entry, prevention, and diversion programs for youth and young adults (ages 10+) in the Bronx and upper Manhattan, while advocating for criminal justice reform. Programs are led by people who have similar lived experiences as court-involved youth, motivating them to transform their futures. Their work results in low recidivism, job creation, and community-building.**BronxConnect is a grantee of Communities Thrive Challenge, a collaboration with the Rockefeller Foundation to fund, strengthen, and scale community-based approaches to expanding economic opportunity. While CZI disbursed the funds to BronxConnect, the grant is joint in spirit.","$1,000,000",2018 - 2020,Justice & Opportunity,Economic Opportunity
Valor Collegiate Academies,"Valor Collegiate Academies is a network of free, public college preparatory charter schools in South Nashville that aims to empower its diverse community to live inspired, purposeful lives with sharp minds and big hearts. This grant provides general operating support for Valor to expand and codify its work building academically rigorous learning environments around the Compass model — a comprehensive human development model promoting students and teachers' social-emotional growth — to support students' academic growth and achievement.","$1,600,000",2018 - 2020,Education,Student Development
Vanderbilt University,"This grants supports exploring regulatory networks that govern transporter expression and activity in the blood-brain barrier, and to leverage this understanding towards rational therapeutic interventions in neurodegeneration. (PI: Ethan Lippmann, Early Career Award)","$2,500,000",2018 - 2023,Science,Neurodegeneration Challenge Network
